Idade,Genero,Etnia,Nivel_Educacao,Cargo_Atual,Senioridade,Faixa_Salarial,Tamanho_Empresa,Industria,Modelo_Trabalho_Atual,Modelo_Trabalho_Preferido,Anos_Experiencia_Dados,Satisfacao_Empresa_Atual,uf_residencia,Insatisfacao_Falta_Crescimento,Insatisfacao_Salario,Insatisfacao_Relacao_Lider,Insatisfacao_Outra_Area,Insatisfacao_Beneficios,Insatisfacao_Clima_Trabalho,Insatisfacao_Falta_Maturidade_Analitica,Criterio_Remuneracao,Criterio_Beneficios,Criterio_Proposito,Criterio_Flexibilidade_Remoto,Criterio_Ambiente_Clima,Criterio_Aprendizado_Referencias,Criterio_Plano_Carreira_Crescimento,Criterio_Maturidade_Tecnologia_Dados,Criterio_Qualidade_Gestores,Criterio_Reputacao_Mercado,Total_Tecnicos_Estado,Total_Docentes_Estado,Total_IES_no_Estado
27,Masculino,Branca,Estudante de Graduação,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não tenho experiência na área de dados,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,71234.0,74822.0,586.0
26,Masculino,Preta,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 101 a 500,Telecomunicação,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Menos de 1 ano,0.0,SP,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
28,Feminino,Branca,Graduação/Bacharelado,Outras Engenharias (não inclui dev),Júnior,de R$ 4.001/mês a R$ 6.000/mês,Acima de 3.000,Indústria,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não tenho experiência na área de dados,0.0,PR,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26170.0,28745.0,174.0
40,Feminino,Preta,Graduação/Bacharelado,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15849.0,20387.0,149.0
38,Masculino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 20.001/mês a R$ 25.000/mês,Acima de 3.000,Tecnologia/Fábrica de Software,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,23491.0,23573.0,120.0
35,Masculino,Branca,Pós-graduação,Analista de BI/BI Analyst,Pleno,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 5,Área de Consultoria,Modelo 100% presencial,Modelo 100% remoto,de 1 a 2 anos,0.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35747.0,31788.0,128.0
24,Feminino,Parda,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,de 1 a 2 anos,0.0,DF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8644.0,9046.0,61.0
27,Feminino,Branca,Pós-graduação,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 101 a 500,Tecnologia/Fábrica de Software,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,23491.0,23573.0,120.0
28,Masculino,Branca,Pós-graduação,Analista de Negócios/Business Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 101 a 500,Finanças ou Bancos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% presencial,de 3 a 4 anos,0.0,SP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
24,Masculino,Amarela,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 501 a 1.000,Seguros ou Previdência,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,71234.0,74822.0,586.0
51,Masculino,Branca,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 101 a 500,Tecnologia/Fábrica de Software,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 4 a 6 anos,1.0,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26170.0,28745.0,174.0
27,Masculino,Branca,Não tenho graduação formal,Analytics Engineer,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
21,Masculino,Branca,Estudante de Graduação,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 11 a 50,Finanças ou Bancos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,1.0,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15849.0,20387.0,149.0
27,Feminino,Branca,Mestrado,Analytics Engineer,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Acima de 3.000,Indústria,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,1.0,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26170.0,28745.0,174.0
34,Feminino,Branca,Não tenho graduação formal,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 51 a 100,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo 100% remoto,de 1 a 2 anos,0.0,GO,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9654.0,14044.0,127.0
54,Masculino,Parda,Mestrado,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26170.0,28745.0,174.0
32,Masculino,Branca,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 101 a 500,Telecomunicação,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Menos de 1 ano,0.0,SP,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,71234.0,74822.0,586.0
28,Masculino,Branca,Pós-graduação,Analista de BI/BI Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 501 a 1.000,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 5 a 6 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,71234.0,74822.0,586.0
21,Feminino,Branca,Estudante de Graduação,Analista de Suporte/Analista Técnico,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto,Não tenho experiência na área de dados,0.0,SP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
26,Masculino,Parda,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,1.0,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23491.0,23573.0,120.0
18,Masculino,Branca,Estudante de Graduação,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 101 a 500,Outra Opção,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,71234.0,74822.0,586.0
32,Masculino,Amarela,Pós-graduação,Desconhecido,Desconhecido,de R$ 3.001/mês a R$ 4.000/mês,de 11 a 50,Marketing,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,1.0,PR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,26170.0,28745.0,174.0
28,Feminino,Preta,Graduação/Bacharelado,Analista de Inteligência de Mercado/Market Intelligence,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14051.0,18573.0,102.0
25,Masculino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 6.001/mês a R$ 8.000/mês,de 101 a 500,Educação,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Menos de 1 ano,0.0,SP,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
27,Feminino,Branca,Graduação/Bacharelado,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 5,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,71234.0,74822.0,586.0
29,Masculino,Branca,Doutorado ou Phd,Desconhecido,Desconhecido,de R$ 16.001/mês a R$ 20.000/mês,de 11 a 50,Agronegócios,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,1.0,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23491.0,23573.0,120.0
23,Masculino,Parda,Estudante de Graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 101 a 500,Área de Consultoria,Modelo 100% remoto,Modelo 100% remoto,de 1 a 2 anos,1.0,CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14969.0,14444.0,101.0
23,Masculino,Parda,Estudante de Graduação,Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1.001 a 3.000,Setor Público,Modelo 100% presencial,Modelo 100% remoto,Menos de 1 ano,0.0,SP,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
26,Masculino,Branca,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,Acima de 3.000,Área de Consultoria,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
51,Feminino,Branca,Graduação/Bacharelado,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
28,Masculino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 12.001/mês a R$ 16.000/mês,de 1.001 a 3.000,Finanças ou Bancos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto,de 7 a 10 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
34,Masculino,Branca,Doutorado ou Phd,Desconhecido,Desconhecido,de R$ 30.001/mês a R$ 40.000/mês,de 101 a 500,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Mais de 10 anos,1.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,35747.0,31788.0,128.0
33,Masculino,Branca,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Acima de 3.000,Varejo,Modelo 100% presencial,Modelo 100% presencial,de 7 a 10 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
29,Masculino,Preta,Mestrado,Cientista de Dados/Data Scientist,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo 100% remoto,Modelo 100% remoto,de 5 a 6 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
44,Masculino,Branca,Graduação/Bacharelado,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
38,Masculino,Branca,Pós-graduação,Cientista de Dados/Data Scientist,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 11 a 50,Área da Saúde,Modelo 100% remoto,Modelo 100% remoto,Mais de 10 anos,1.0,MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,42867.0,41090.0,310.0
28,Masculino,Parda,Graduação/Bacharelado,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Acima de 3.000,Setor Alimentício,Modelo 100% remoto,Modelo 100% remoto,de 1 a 2 anos,1.0,Desconhecido,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,
29,Feminino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 8.001/mês a R$ 12.000/mês,de 51 a 100,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo 100% remoto,de 3 a 4 anos,0.0,SP,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71234.0,74822.0,586.0
32,Feminino,Branca,Doutorado ou Phd,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
23,Masculino,Branca,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 51 a 100,Finanças ou Bancos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
26,Masculino,Branca,Estudante de Graduação,Cientista de Dados/Data Scientist,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 51 a 100,Setor Público,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,1.0,CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14969.0,14444.0,101.0
24,Masculino,Branca,Graduação/Bacharelado,Engenheiro de Machine Learning/ML Engineer/AI Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 101 a 500,Tecnologia/Fábrica de Software,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,1.0,PE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17475.0,16041.0,118.0
31,Masculino,Parda,Doutorado ou Phd,Desconhecido,Desconhecido,de R$ 12.001/mês a R$ 16.000/mês,Acima de 3.000,Setor Público,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,de 7 a 10 anos,1.0,DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8644.0,9046.0,61.0
34,Masculino,Parda,Estudante de Graduação,Outra Opção,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1.001 a 3.000,Setor Público,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
27,Feminino,Branca,Graduação/Bacharelado,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 51 a 100,Educação,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Não tenho experiência na área de dados,0.0,AL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4673.0,4875.0,30.0
23,Masculino,Branca,Graduação/Bacharelado,Cientista de Dados/Data Scientist,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 101 a 500,Área de Consultoria,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 1 a 2 anos,0.0,SP,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71234.0,74822.0,586.0
26,Masculino,Branca,Graduação/Bacharelado,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 101 a 500,Educação,Modelo 100% remoto,Modelo 100% remoto,de 1 a 2 anos,1.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35747.0,31788.0,128.0
33,Masculino,Branca,Mestrado,Desconhecido,Desconhecido,de R$ 12.001/mês a R$ 16.000/mês,de 101 a 500,Marketing,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido com dias fixos de trabalho presencial,de 3 a 4 anos,1.0,MG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,42867.0,41090.0,310.0
32,Masculino,Parda,Graduação/Bacharelado,Desconhecido,Desconhecido,de R$ 12.001/mês a R$ 16.000/mês,Acima de 3.000,Outra Opção,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 7 a 10 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
49,Feminino,Branca,Pós-graduação,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Acima de 3.000,Finanças ou Bancos,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,Mais de 10 anos,1.0,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23491.0,23573.0,120.0
34,Feminino,Branca,Doutorado ou Phd,Desconhecido,Desconhecido,de R$ 12.001/mês a R$ 16.000/mês,de 101 a 500,Telecomunicação,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 3 a 4 anos,0.0,RJ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,35747.0,31788.0,128.0
23,Masculino,Parda,Estudante de Graduação,Cientista de Dados/Data Scientist,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Acima de 3.000,Telecomunicação,Modelo 100% remoto,Modelo 100% remoto,de 1 a 2 anos,1.0,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15849.0,20387.0,149.0
35,Masculino,Branca,Pós-graduação,Analista de BI/BI Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 101 a 500,Finanças ou Bancos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 7 a 10 anos,1.0,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
31,Masculino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 5,Área de Consultoria,Modelo 100% remoto,Modelo 100% remoto,Mais de 10 anos,0.0,SP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71234.0,74822.0,586.0
32,Masculino,Branca,Pós-graduação,Outra Opção,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Acima de 3.000,Tecnologia/Fábrica de Software,Modelo 100% remoto,Modelo 100% remoto,Menos de 1 ano,1.0,PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9069.0,10354.0,45.0
32,Feminino,Preta,Graduação/Bacharelado,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,Acima de 3.000,Educação,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,de 3 a 4 anos,1.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35747.0,31788.0,128.0
27,Feminino,Branca,Pós-graduação,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Acima de 3.000,Indústria,Modelo 100% remoto,Modelo 100% remoto,Menos de 1 ano,1.0,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14051.0,18573.0,102.0
44,Masculino,Branca,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 25.001/mês a R$ 30.000/mês,Acima de 3.000,Setor de Energia,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,de 5 a 6 anos,1.0,RJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,35747.0,31788.0,128.0
50,Masculino,Branca,Pós-graduação,Desconhecido,Desconhecido,de R$ 25.001/mês a R$ 30.000/mês,de 101 a 500,Setor Público,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),de 5 a 6 anos,1.0,GO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9654.0,14044.0,127.0
24,Feminino,Parda,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 101 a 500,Setor Imobiliário/ Construção Civil,Modelo 100% remoto,Modelo 100% remoto,de 1 a 2 anos,0.0,PR,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26170.0,28745.0,174.0
42,Masculino,Parda,Pós-graduação,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,Desconhecido,nan,SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14051.0,18573.0,102.0
